athens, greece, baghdad, iraq, ['ss_8698126', 'russia', 'ss_8914193', 'ss_8782319', 'egypt']
gaborone, botswana, kiev, ukraine, ['ss_9015907', 'haiti', 'ss_8737716', 'south_vietnam', 'ramakrishna']
gaborone, botswana, kigali, rwanda, ['haiti', 'ss_8815346', 'ss_8737716', 'rennes', 'bonn']
gaborone, botswana, kingston, jamaica, ['binghamton', 'montevideo', 'sevastopol', 'ss_9124589', 'ss_9017168']
gaborone, botswana, libreville, gabon, ['ss_8945705', 'arin', 'burkina_faso', 'netball', 'ss_8751885']
gaborone, botswana, lilongwe, malawi, ['aurelianus', 'aldebaran', 'ss_8963095', 'erice', 'jethro']
gaborone, botswana, lima, peru, ['ss_8979878', 'majorca', 'ss_10930428', 'worldcom', 'burkina_faso']
gaborone, botswana, lisbon, portugal, ['ss_8986066', 'haiti', 'ss_4529486', 'ss_8751494', 'munich']
gaborone, botswana, ljubljana, slovenia, ['ss_8755214', 'barbados', 'malta', 'belarus', 'bahamas']
gaborone, botswana, london, england, ['the_philippines', 'paris', 'where_he', 'ss_8873622', 'vienna']
gaborone, botswana, luanda, angola, ['barbados', 'malta', 'belarus', 'ss_8755214', 'morocco']
gaborone, botswana, lusaka, zambia, ['ss_9165996', 'calw', 'newcastle-under-lyme', 'accord_with_the', 'ss_8738014']
gaborone, botswana, madrid, spain, ['ss_9024467', 'belarus', 'barcelona', 'lithuania', 'ss_9011151']
gaborone, botswana, managua, nicaragua, ['binghamton', 'haiti', 'ss_8715777', 'burkina_faso', 'honduras']
gaborone, botswana, manama, bahrain, ['burkina_faso', 'sassari', 'haiti', 'barbados', 'yakutsk']
gaborone, botswana, manila, philippines, ['ss_8981746', 'ss_14946939', 'binghamton', 'gte', 'ss_9124589']
gaborone, botswana, maputo, mozambique, ['burkina_faso', 'sassari', 'valletta', 'ss_8715777', 'faso']
gaborone, botswana, minsk, belarus, ['belarus', 'ss_8737716', 'ss_9011518', 'haiti', 'montevideo']
gaborone, botswana, mogadishu, somalia, ['ss_8998853', 'saint-domingue', 'malta', 'santiago_de_compostela', 'kinshasa']
gaborone, botswana, monrovia, liberia, ['ss_8959495', 'barbados', 'macau', 'malta', 'ahmedabad']
gaborone, botswana, montevideo, uruguay, ['haiti', 'ss_9160571', 'ss_8737716', 'rennes', 'ss_8780282']
gaborone, botswana, moscow, russia, ['belarus', 'the_philippines', 'ss_9004068', 'malta', 'singapore']
gaborone, botswana, muscat, oman, ['ss_8737716', 'burkina_faso', 'burkina', 'honduras', 'muscat_and']
gaborone, botswana, nairobi, kenya, ['honduras', 'kobe', 'ss_8946909', 'espoo', 'ss_8928582']
gaborone, botswana, nassau, bahamas, ['bosnia_and', 'ss_8751317', 'bosnia_and_herzegovina', 'rico', 'ss_9096498']
gaborone, botswana, niamey, niger, ['haiti', 'ss_8751885', 'port-au-prince', 'burkina_faso', 'ss_8737716']
gaborone, botswana, nicosia, cyprus, ['yangon', 'haiti', 'ss_8715777', 'vanuatu', 'odense']
gaborone, botswana, nouakchott, mauritania, ['belarus', 'ss_8967176', 'vermont', 'haiti', 'ss_8751494']
gaborone, botswana, nuuk, greenland, ['barbados', 'ss_8755214', 'ss_8735164', 'bolivia', 'burkina_faso']
georgetown, guyana, hanoi, vietnam, ['laos', 'ss_6935594', 'ss_8948346', 'albania', 'greenland']
georgetown, guyana, harare, zimbabwe, ['alberta', 'ss_8948346', 'lettuce', 'ss_9018162', 'ss_8822202']
georgetown, guyana, havana, cuba, ['ss_8750612', 'bahrain', 'ss_8813978', 'ss_8753729', 'capoeira']
georgetown, guyana, helsinki, finland, ['ss_9164561', 'finland', 'iraq', 'algeria', 'libya']
georgetown, guyana, islamabad, pakistan, ['laos', 'slovakia', 'argentina', 'saudi_arabia', 'south_korea']
georgetown, guyana, jakarta, indonesia, ['ss_8813978', 'indonesia', 'south_korea', 'russia', 'romania']
georgetown, guyana, kabul, afghanistan, ['laos', 'ss_9033333', 'syria', 'ss_8896831', 'argentina']
georgetown, guyana, kampala, uganda, ['ss_8841209', 'ss_8948346', 'ss_8748794', 'alberta', 'ashgabat']
georgetown, guyana, kathmandu, nepal, ['suriname', 'ss_8906809', 'laos', 'liberia', 'ss_9030752']
georgetown, guyana, khartoum, sudan, ['ss_6935594', 'laos', 'sudan', 'ss_8959254', 'suriname']
georgetown, guyana, kiev, ukraine, ['laos', 'ss_9015907', 'ss_6935594', 'argentina', 'syria']
georgetown, guyana, kigali, rwanda, ['laos', 'ashgabat', 'suriname', 'guinea-bissau', 'nicaragua']
georgetown, guyana, kingston, jamaica, ['suriname', 'argentina', 'ss_8948346', 'ss_8827853', 'slovakia']
georgetown, guyana, libreville, gabon, ['ss_8947772', 'guinea-bissau', 'ss_8948346', 'ss_8945705', 'adjara']
georgetown, guyana, lilongwe, malawi, ['ss_8963095', 'ss_8948346', 'delaware', 'basseterre', 'senegal']
georgetown, guyana, lima, peru, ['peru', 'ss_6935594', 'laos', 'lebanon', 'bolivia']
georgetown, guyana, lisbon, portugal, ['suriname', 'laos', 'argentina', 'liberia', 'ethiopia']
georgetown, guyana, ljubljana, slovenia, ['aksai_chin', 'estonia', 'maldives', 'laos', 'albania']
georgetown, guyana, london, england, ['ss_9033333', 'syria', 'russia', 'laos', 'japan']
georgetown, guyana, luanda, angola, ['aksai_chin', 'laos', 'ss_6935594', 'swaziland', 'estonia']
georgetown, guyana, lusaka, zambia, ['ss_9165996', 'argentina', 'ss_8711974', 'iraq', 'ss_9004625']
georgetown, guyana, madrid, spain, ['laos', 'ss_8759013', 'ethiopia', 'ss_9031653', 'liberia']
georgetown, guyana, managua, nicaragua, ['ss_8948346', 'nicaragua', 'alberta', 'ashgabat', 'ss_8739047']
georgetown, guyana, manama, bahrain, ['aksai_chin', 'ss_8848568', 'ss_8948346', 'nicaragua', 'syria']
georgetown, guyana, manila, philippines, ['peru', 'iceland', 'paraguay', 'iraq', 'argentina']
georgetown, guyana, maputo, mozambique, ['aksai_chin', 'ashgabat', 'ss_8948346', 'alberta', 'kauai']
georgetown, guyana, minsk, belarus, ['slovakia', 'ss_9011518', 'laos', 'san_marino', 'liberia']
georgetown, guyana, mogadishu, somalia, ['libya', 'ss_8959683', 'ethiopia', 'ss_8959254', 'liberia']
georgetown, guyana, monrovia, liberia, ['aksai_chin', 'ss_8959495', 'estonia', 'ss_8959254', 'ss_6935594']
georgetown, guyana, montevideo, uruguay, ['uruguay', 'laos', 'ss_9160571', 'ss_8947772', 'ss_9022265']
georgetown, guyana, moscow, russia, ['argentina', 'ss_9033333', 'syria', 'ethiopia', 'laos']
georgetown, guyana, muscat, oman, ['oman', 'ss_8947772', 'ss_8948346', 'grenada', 'honduras']
georgetown, guyana, nairobi, kenya, ['ss_8948346', 'ss_8928582', 'guinea-bissau', 'alberta', 'greenland']
georgetown, guyana, nassau, bahamas, ['barnstable', 'laos', 'suriname', 'lebanon', 'ss_9033333']
georgetown, guyana, niamey, niger, ['argentina', 'ss_8948346', 'uruguay', 'saudi_arabia', 'greenland']
georgetown, guyana, nicosia, cyprus, ['ss_8948346', 'alberta', 'ashgabat', 'ss_8757132', 'nicaragua']
georgetown, guyana, nouakchott, mauritania, ['carbamazepine', 'suriname', 'ss_6935594', 'ss_8967176', 'laos']
georgetown, guyana, nuuk, greenland, ['estonia', 'bolivia', 'bulgaria', 'ss_8759013', 'aksai_chin']
georgetown, guyana, oslo, norway, ['laos', 'ss_6935594', 'ss_8948346', 'argentina', 'south_korea']
hanoi, vietnam, harare, zimbabwe, ['central_african_republic', 'west_coast', 'main_street', 'south_island', 'cyprus']
hanoi, vietnam, havana, cuba, ['romania', 'ss_8813978', 'ss_8750334', 'cuba', 'korea']
hanoi, vietnam, helsinki, finland, ['iraq', 'iran', 'romania', 'ss_8913434', 'ss_1309807']
hanoi, vietnam, islamabad, pakistan, ['romania', 'ss_1309807', 'austria-hungary', 'korea', 'ss_8845366']
hanoi, vietnam, jakarta, indonesia, ['ss_8813978', 'romania', 'ss_8909719', 'korea', 'clausewitz']
hanoi, vietnam, kabul, afghanistan, ['ss_1309807', 'germany', 'pakistan', 'the_south', 'africa']
hanoi, vietnam, kampala, uganda, ['ss_1309807', 'iraq', 'ss_9037394', 'ss_8913434', 'ss_8841209']
hanoi, vietnam, kathmandu, nepal, ['ss_1309807', 'georgia_is', 'korea', 'africa', 'ss_8561583']
hanoi, vietnam, khartoum, sudan, ['ss_1309807', 'sudan', 'ss_9030210', 'africa', 'ss_9189411']
hanoi, vietnam, kiev, ukraine, ['ss_1309807', 'ss_9015907', 'italy', 'africa', 'germany']
hanoi, vietnam, kigali, rwanda, ['ss_1309807', 'minbari', 'bacchus', 'ss_8561583', 'ss_8949093']
hanoi, vietnam, kingston, jamaica, ['georgia_is', 'ss_1309807', 'zubarah', 'pakistan', 'austria-hungary']
hanoi, vietnam, libreville, gabon, ['ss_1309807', 'kim_jong-il', 'honduras', 'ss_2130308', 'hitomi']
hanoi, vietnam, lilongwe, malawi, ['ss_1309807', 'coast', 'pakistan', 'essos', 'ss_9484664']
hanoi, vietnam, lima, peru, ['ss_1309807', 'peru', 'ss_8845366', 'germany', 'austria-hungary']
hanoi, vietnam, lisbon, portugal, ['ss_1309807', 'second_world', 'austria-hungary', 'africa', 'treaty']
hanoi, vietnam, ljubljana, slovenia, ['ss_1309807', 'ss_9189411', 'america', 'ss_8561583', 'africa']
hanoi, vietnam, london, england, ['africa', 'the_south', 'ss_1309807', 'japan', 'the_north']
hanoi, vietnam, luanda, angola, ['ss_1309807', 'estonia', 'ss_9189411', 'iraq', 'madagascar']
hanoi, vietnam, lusaka, zambia, ['cuba', 'ss_1309807', 'ss_8845366', 'ss_9165996', 'ss_8913434']
hanoi, vietnam, madrid, spain, ['ss_1309807', 'romania', 'ss_8293982', 'ss_8813978', 'independence']
hanoi, vietnam, managua, nicaragua, ['ss_1309807', 'tel_aviv', 'afghanistan', 'nicaragua', 'iraq']
hanoi, vietnam, manama, bahrain, ['ss_1309807', 'afghanistan', 'iraq', 'ss_8913434', 'pakistan']
hanoi, vietnam, manila, philippines, ['ss_1309807', 'tulagi', 'guadalcanal', 'transjordan', 'cuba']
hanoi, vietnam, maputo, mozambique, ['ss_1309807', 'ss_9189411', 'ss_8561583', 'and_south', 'ss_8814781']
hanoi, vietnam, minsk, belarus, ['ss_1309807', 'korea', 'georgia_is', 'pakistan', 'sgp']
hanoi, vietnam, mogadishu, somalia, ['ss_1309807', 'ecuador', 'ss_8998853', 'ethiopia', 'madagascar']
hanoi, vietnam, monrovia, liberia, ['ss_1309807', 'ss_8959495', 'south_sudan', 'tyneside', 'madagascar']
hanoi, vietnam, montevideo, uruguay, ['ss_1309807', 'ss_9160571', 'ss_9015460', 'honduras', 'ss_10974136']
hanoi, vietnam, moscow, russia, ['ss_1309807', 'africa', 'cuba', 'japan', 'russia']
hanoi, vietnam, muscat, oman, ['honduras', 'ss_1309807', 'ss_8737716', 'xinjiang', 'china']
hanoi, vietnam, nairobi, kenya, ['ss_1309807', 'honduras', 'guinea-bissau', 'korea', 'airlines']
hanoi, vietnam, nassau, bahamas, ['ss_1309807', 'ss_8913434', 'ss_726100', 'ss_9484664', 'pakistan']
hanoi, vietnam, niamey, niger, ['ss_1309807', 'pakistan', 'iran', 'surselva', 'ss_8973647']
hanoi, vietnam, nicosia, cyprus, ['ss_1309807', 'republic', 'ss_8913434', 'ss_8949093', 'second_world']
hanoi, vietnam, nouakchott, mauritania, ['ss_1309807', 'japan', 'estonia', 'the_republic', 'africa']
hanoi, vietnam, nuuk, greenland, ['ss_1309807', 'africa', 'madagascar', 'pakistan', 'thailand']
hanoi, vietnam, oslo, norway, ['ss_1309807', 'austria-hungary', 'ss_8845366', 'japan', 'second_world']
hanoi, vietnam, ottawa, canada, ['ss_9380588', 'ss_8827486', 'ss_1309807', 'west_coast', 'persian_gulf']
harare, zimbabwe, havana, cuba, ['cuba', 'jamaica', 'romania', 'scruggs', 'china']
harare, zimbabwe, helsinki, finland, ['yemen', 'croatia', 'houston', 'vso', 'ss_9164561']
harare, zimbabwe, islamabad, pakistan, ['yemen', 'lebanon', 'cambodia', 'peru', 'ss_8795232']
harare, zimbabwe, jakarta, indonesia, ['indonesia', 'ellicott_city', 'balochistan', 'ubangi-shari', 'cuba']
harare, zimbabwe, kabul, afghanistan, ['zurich', 'lebanon', 'ss_8896831', 'south_vietnam', 'ss_8845555']
harare, zimbabwe, kampala, uganda, ['lebanon', 'uganda', 'ss_8969291', 'estonia', 'ss_8929922']
harare, zimbabwe, kathmandu, nepal, ['lebanon', 'peshawar', 'lithuania', 'sudan', 'ss_8977527']
harare, zimbabwe, khartoum, sudan, ['sudan', 'libya', 'ss_9013830', 'malta', 'lithuania']
harare, zimbabwe, kiev, ukraine, ['ss_9015907', 'south_vietnam', 'ss_2098413', 'arles', 'east_anglia']
harare, zimbabwe, kigali, rwanda, ['lebanon', 'lithuania', 'poland', 'ss_8845555', 'ss_8260961']
harare, zimbabwe, kingston, jamaica, ['lebanon', 'petrograd', 'kenya', 'kosovo', 'east_anglia']
harare, zimbabwe, libreville, gabon, ['azad_kashmir', 'naturism', 'palau', 'ss_8737716', 'ss_2969241']
harare, zimbabwe, lilongwe, malawi, ['lebanon', 'dinham', 'putin', 'venezuela', 'brunei']
harare, zimbabwe, lima, peru, ['ss_8979878', 'worldcom', 'peru', 'south_vietnam', 'ss_8979054']
harare, zimbabwe, lisbon, portugal, ['lebanon', 'stalingrad', 'lithuania', 'libya', 'versailles']
harare, zimbabwe, ljubljana, slovenia, ['maldives', 'estonia', 'bermuda', 'burma', 'south_vietnam']
harare, zimbabwe, london, england, ['germany', 'france', 'established', 'china', 'paris']
harare, zimbabwe, luanda, angola, ['estonia', 'albania', 'morocco', 'malta', 'ss_9013830']
harare, zimbabwe, lusaka, zambia, ['calw', 'ss_3593362', 'ss_3631922', 'ss_9165996', 'cavite']
harare, zimbabwe, madrid, spain, ['ss_9024467', 'lithuania', 'poland', 'estonia', 'lebanon']
harare, zimbabwe, managua, nicaragua, ['lebanon', 'britain', 'ireland', 'venezuela', 'bulgaria']
harare, zimbabwe, manama, bahrain, ['estonia', 'bulgaria', 'egypt', 'south_vietnam', 'ss_8896831']
harare, zimbabwe, manila, philippines, ['stalingrad', 'ss_11360022', 'tulagi', 'ss_10937364', 'saint-domingue']
harare, zimbabwe, maputo, mozambique, ['ss_8969291', 'mammoth_cave', 'south_vietnam', 'las_casas', 'equatorial_guinea']
harare, zimbabwe, minsk, belarus, ['ss_9011518', 'lebanon', 'ss_9011151', 'belarus', 'kenya']
harare, zimbabwe, mogadishu, somalia, ['ss_8998853', 'south_vietnam', 'ss_11337202', 'malta', 'saint-domingue']
harare, zimbabwe, monrovia, liberia, ['ss_8959495', 'dejima', 'south_vietnam', 'malta', 'macau']
harare, zimbabwe, montevideo, uruguay, ['haiti', 'lebanon', 'petrograd', 'ss_8737716', 'belarus']
harare, zimbabwe, moscow, russia, ['lithuania', 'russia', 'malta', 'libya', 'ss_8896831']
harare, zimbabwe, muscat, oman, ['ss_8737716', 'venezuela', 'honduras', 'lebanon', 'palau']
harare, zimbabwe, nairobi, kenya, ['lebanon', 'bangladesh', 'greenland', 'honduras', 'kenya']
harare, zimbabwe, nassau, bahamas, ['ss_8847570', 'lebanon', 'ss_8957381', 'barnstable', 'ss_9147964']
harare, zimbabwe, niamey, niger, ['lebanon', 'venezuela', 'iceland', 'yemen', 'chile']
harare, zimbabwe, nicosia, cyprus, ['republic', 'estonia', 'the_federal', 'lebanon', 'china']
harare, zimbabwe, nouakchott, mauritania, ['south_vietnam', 'estonia', 'forza_italia', 'vermont', 'ss_8967176']
harare, zimbabwe, nuuk, greenland, ['estonia', 'bolivia', 'bulgaria', 'ss_8852843', 'south_vietnam']
harare, zimbabwe, oslo, norway, ['warsaw', 'poland', 'britain', 'libya', 'finland']
harare, zimbabwe, ottawa, canada, ['cincinnati', 'sox', 'ss_8827486', 'stockings', 'britain']
harare, zimbabwe, paramaribo, suriname, ['ss_9031061', 'pakistan_has', 'minorca', 'vaduz', 'balochistan']
havana, cuba, helsinki, finland, ['iraq', 'russia', 'iran', 'ss_8859173', 'the_us']
havana, cuba, islamabad, pakistan, ['russia', 'peru', 'chile', 'iran', 'iraq']
havana, cuba, jakarta, indonesia, ['russia', 'iran', 'iraq', 'indonesia', 'ss_8913434']
havana, cuba, kabul, afghanistan, ['russia', 'ss_8900535', 'afghanistan', 'iraq', 'ss_8703454']
havana, cuba, kampala, uganda, ['uganda', 'ss_8841209', 'iraq', 'afghanistan', 'ss_9043052']
havana, cuba, kathmandu, nepal, ['russia', 'saudi_arabia', 'switzerland', 'lebanon', 'argentina']
havana, cuba, khartoum, sudan, ['ss_9030210', 'sudan', 'somalia', 'syria', 'libya']
havana, cuba, kiev, ukraine, ['ss_9015907', 'italy', 'south_vietnam', 'iraq', 'peru']
havana, cuba, kigali, rwanda, ['ss_9023321', 'russia', 'afghanistan', 'ss_10977368', 'belgium']
havana, cuba, kingston, jamaica, ['ss_8827853', 'russia', 'ss_8703454', 'argentina', 'saudi_arabia']
havana, cuba, libreville, gabon, ['ss_8945705', 'ss_8737716', 'burkina_faso', 'hong_kong', 'venezuela']
havana, cuba, lilongwe, malawi, ['burnel', 'russia', 'ss_8963095', 'terzis', 'iraq']
havana, cuba, lima, peru, ['peru', 'ss_8979878', 'ss_8979054', 'iraq', 'bolivia']
havana, cuba, lisbon, portugal, ['treaty', 'the_us', 'russia', 'iraq', 'ss_8986066']
havana, cuba, ljubljana, slovenia, ['estonia', 'ss_8900535', 'iraq', 'russia', 'burma']
havana, cuba, london, england, ['ss_8900535', 'russia', 'france', 'italy', 'the_us']
havana, cuba, luanda, angola, ['estonia', 'syria', 'albania', 'iraq', 'russia']
havana, cuba, lusaka, zambia, ['ss_9165996', 'iraq', 'calw', 'the_us', 'and_again']
havana, cuba, madrid, spain, ['ss_9024467', 'ss_8293982', 'poland', 'russia', 'iraq']
havana, cuba, managua, nicaragua, ['nicaragua', 'afghanistan', 'iraq', 'ss_8703454', 'ss_9023321']
havana, cuba, manama, bahrain, ['afghanistan', 'iraq', 'ss_8848568', 'ss_8703454', 'syria']
havana, cuba, manila, philippines, ['peru', 'iraq', 'venezuela', 'lima', 'tulagi']
havana, cuba, maputo, mozambique, ['sisera', 'langtry', 'las_casas', 'ss_11117108', 'gilliam']
havana, cuba, minsk, belarus, ['ss_9011518', 'russia', 'kenya', 'argentina', 'belarus']
havana, cuba, mogadishu, somalia, ['ss_8998853', 'south_vietnam', 'ss_8998560', 'bolivia', 'ethiopia']
havana, cuba, monrovia, liberia, ['ss_8959495', 'estonia', 'lycos', 'bolivia', 'south_vietnam']
havana, cuba, montevideo, uruguay, ['haiti', 'ss_9160571', 'afghanistan', 'ss_8737716', 'kenya']
havana, cuba, moscow, russia, ['russia', 'ss_8900535', 'the_us', 'iraq', 'chile']
havana, cuba, muscat, oman, ['venezuela', 'ss_8737716', 'afghanistan', 'honduras', 'sassari']
havana, cuba, nairobi, kenya, ['ss_8822202', 'uganda', 'ss_8948346', 'guyana', 'afghanistan']
havana, cuba, nassau, bahamas, ['iraq', 'syria', 'ss_9033333', 'ss_8913434', 'russia']
havana, cuba, niamey, niger, ['afghanistan', 'russia', 'iraq', 'iran', 'ss_8703454']
havana, cuba, nicosia, cyprus, ['iraq', 'the_federal', 'nicaragua', 'afghanistan', 'ss_8913434']
havana, cuba, nouakchott, mauritania, ['ss_8967176', 'the_us', 'estonia', 'russia', 'depretis']
havana, cuba, nuuk, greenland, ['bolivia', 'estonia', 'bulgaria', 'russia', 'ss_8852843']
havana, cuba, oslo, norway, ['russia', 'italy', 'iraq', 'ss_9023321', 'ss_8859173']
havana, cuba, ottawa, canada, ['ss_11209790', 'ss_9377315', 'join', 'ss_2598765', 'ss_9380588']
havana, cuba, paramaribo, suriname, ['larkin_was', 'venezuela', 'bolivia', 'philippines', 'russia']
havana, cuba, paris, france, ['france', 'italy', 'ss_8929922', 'the_us', 'ss_10977368']
helsinki, finland, islamabad, pakistan, ['denmark', 'spain', 'switzerland', 'slovakia', 'russia']
helsinki, finland, jakarta, indonesia, ['ss_8813978', 'russia', 'romania', 'ss_9028062', 'catalonia']
helsinki, finland, kabul, afghanistan, ['germany', 'belgium', 'ss_8765890', 'austria', 'ss_8845555']
helsinki, finland, kampala, uganda, ['estonia', 'ss_9012297', 'turkmenistan', 'norway', 'ss_9021503']
helsinki, finland, kathmandu, nepal, ['ss_8906809', 'slovakia', 'ss_9031653', 'laos', 'switzerland']
helsinki, finland, khartoum, sudan, ['ss_9030210', 'ss_9031653', 'sudan', 'ss_6935594', 'ss_9013830']
helsinki, finland, kiev, ukraine, ['ss_9015907', 'italy', 'denmark', 'belgium', 'norway']
helsinki, finland, kigali, rwanda, ['ss_8815346', 'norway', 'ss_8764107', 'denmark', 'ss_9031653']
helsinki, finland, kingston, jamaica, ['sweden', 'denmark', 'germany', 'switzerland', 'kenya']
helsinki, finland, libreville, gabon, ['ss_9022265', 'naturism', 'uzbekistan', 'estonia', 'honduras']
helsinki, finland, lilongwe, malawi, ['ss_9031653', 'denmark', 'norway', 'belgium', 'ss_8963095']
helsinki, finland, lima, peru, ['peru', 'ss_8979878', 'germany', 'ukraine_and', 'estonia']
helsinki, finland, lisbon, portugal, ['poland', 'denmark', 'belgium', 'norway', 'ss_9023321']
helsinki, finland, ljubljana, slovenia, ['estonia', 'ss_9012297', 'sweden', 'moldova', 'tajikistan']
helsinki, finland, london, england, ['germany', 'sweden', 'ss_8765890', 'france', 'italy']
helsinki, finland, luanda, angola, ['estonia', 'ss_8708304', 'ss_9012297', 'ss_9031653', 'moldova']
helsinki, finland, lusaka, zambia, ['ss_3593362', 'ss_3631922', 'switzerland_and', 'ss_8711974', 'italy']
helsinki, finland, madrid, spain, ['ss_9024467', 'estonia', 'poland', 'ss_9031653', 'sweden']
helsinki, finland, managua, nicaragua, ['afghanistan', 'norway', 'ss_8739047', 'tajikistan', 'denmark']
helsinki, finland, manama, bahrain, ['estonia', 'ss_9012297', 'afghanistan', 'ss_8848568', 'belgium']
helsinki, finland, manila, philippines, ['peru', 'iceland', 'ukraine_and', 'germany', 'lima']
helsinki, finland, maputo, mozambique, ['ss_8708304', 'estonia', 'luanda', 'ss_9012297', 'ss_8971554']
helsinki, finland, minsk, belarus, ['ss_9011518', 'slovakia', 'iceland_was', 'estonia', 'moldova']
helsinki, finland, mogadishu, somalia, ['estonia', 'ss_8998853', 'ss_9013830', 'ethiopia', 'poland']
helsinki, finland, monrovia, liberia, ['estonia', 'ss_8959495', 'ss_9012297', 'ss_6227708', 'latgale']
helsinki, finland, montevideo, uruguay, ['ss_9160571', 'ss_9022265', 'uzbekistan', 'haiti', 'germany']
helsinki, finland, moscow, russia, ['ss_9031653', 'sweden', 'russia', 'ss_8765890', 'south_africa']
helsinki, finland, muscat, oman, ['ss_9022265', 'uzbekistan', 'honduras', 'afghanistan', 'estonia']
helsinki, finland, nairobi, kenya, ['uzbekistan', 'guyana', 'ss_8948346', 'ss_8928193', 'ss_8928582']
helsinki, finland, nassau, bahamas, ['barnstable', 'yugoslavia', 'syria', 'ss_8982587', 'estonia']
helsinki, finland, niamey, niger, ['norway', 'denmark', 'afghanistan', 'sweden', 'belgium']
helsinki, finland, nicosia, cyprus, ['ss_9020961', 'tajikistan', 'estonia', 'ss_9012297', 'the_netherlands']
helsinki, finland, nouakchott, mauritania, ['ss_8967176', 'estonia', 'sweden', 'moldova', 'artsakh']
helsinki, finland, nuuk, greenland, ['estonia', 'ss_9012297', 'ss_9031653', 'bulgaria', 'sweden']
helsinki, finland, oslo, norway, ['norway', 'ss_8765890', 'sweden', 'ss_9023321', 'poland']
helsinki, finland, ottawa, canada, ['wizards', 'ss_9380588', 'soviet_union', 'ss_8827486', 'ss_6946823']
helsinki, finland, paramaribo, suriname, ['denmark', 'estonia', 'norway', 'ss_9031653', 'switzerland']
helsinki, finland, paris, france, ['france', 'germany', 'italy', 'poland', 'ss_8801678']
helsinki, finland, podgorica, montenegro, ['rosebank', 'missy_elliott', 'khayelitsha', 'tymnet', 'then_at_the']
islamabad, pakistan, jakarta, indonesia, ['india', 'ss_8900535', 'ss_8561351', 'indonesia', 'ss_6946823']
islamabad, pakistan, kabul, afghanistan, ['india', 'ss_8900535', 'ss_8561351', 'the_dutch', 'germany']
islamabad, pakistan, kampala, uganda, ['ss_8852209', 'ss_8841209', 'bhutan', 'ivory_coast', 'ss_8961852']
islamabad, pakistan, kathmandu, nepal, ['ss_8561351', 'india', 'ss_8900535', 'armed_forces', 'ss_8561835']
islamabad, pakistan, khartoum, sudan, ['india', 'ss_8900535', 'ss_8561351', 'queensland', 'ss_6946823']
islamabad, pakistan, kiev, ukraine, ['india', 'north_africa', 'ss_9015907', 'ss_8900535', 'belgium']
islamabad, pakistan, kigali, rwanda, ['india', 'ss_8561351', 'ss_8900535', 'queensland', 'belgium']
islamabad, pakistan, kingston, jamaica, ['india', 'ss_8900535', 'ss_8561351', 'ss_8975902', 'ss_11704093']
islamabad, pakistan, libreville, gabon, ['ss_8945705', 'aardman', 'honduras', 'ss_9153873', 'carabinieri']
islamabad, pakistan, lilongwe, malawi, ['india', 'ss_8561351', 'ss_8900535', 'gauvreau', 'toastmasters_international']
islamabad, pakistan, lima, peru, ['india', 'germany', 'ss_8900535', 'afghanistan', 'ss_8561351']
islamabad, pakistan, lisbon, portugal, ['india', 'ss_8900535', 'ss_8561351', 'belgium', 'the_dutch']
islamabad, pakistan, ljubljana, slovenia, ['india', 'tranmere', 'bhutan', 'ss_8900535', 'ufw']
islamabad, pakistan, london, england, ['india', 'ss_8900535', 'ss_8561351', 'east', 'the_dutch']
islamabad, pakistan, luanda, angola, ['bhutan', 'ss_8708304', 'ivory_coast', 'aksai_chin', 'ss_8852209']
islamabad, pakistan, lusaka, zambia, ['vrindavan', 'north_africa', 'ss_3593362', 'ss_3631922', 'india']
islamabad, pakistan, madrid, spain, ['india', 'ss_8900535', 'ss_9024467', 'mozambique', 'ufw']
islamabad, pakistan, managua, nicaragua, ['ivory_coast', 'ss_8852209', 'bhutan', 'madero', 'ss_9079875']
islamabad, pakistan, manama, bahrain, ['ss_8848568', 'ss_8852209', 'ivory_coast', 'bhutan', 'sclc']
islamabad, pakistan, manila, philippines, ['india', 'ss_8900535', 'ss_10222497', 'ss_8561351', 'brunei']
islamabad, pakistan, maputo, mozambique, ['ss_8852209', 'ss_8971554', 'birobidzhan', 'tranmere', 'malaysia_is']
islamabad, pakistan, minsk, belarus, ['india', 'ss_8900535', 'ss_6946823', 'ss_8561351', 'dutch']
islamabad, pakistan, mogadishu, somalia, ['india', 'bangladesh', 'ss_8900535', 'ss_8848731', 'mozambique']
islamabad, pakistan, monrovia, liberia, ['yeshiva_university', 'ss_8959495', 'hartlepool', 'tyneside', 'mozambique']
islamabad, pakistan, montevideo, uruguay, ['honduras', 'india', 'ss_8737716', 'germany', 'uzbekistan']
islamabad, pakistan, moscow, russia, ['india', 'ss_8900535', 'ss_8561351', 'texas', 'the_dutch']
islamabad, pakistan, muscat, oman, ['honduras', 'india', 'ss_8737716', 'bulgars', 'sassari']
islamabad, pakistan, nairobi, kenya, ['gambian', 'mpla', 'ss_8699654', 'ghana', 'ss_8822202']
islamabad, pakistan, nassau, bahamas, ['armed_forces', 'ss_8561351', 'ss_6946823', 'ss_6950528', 'ss_8561835']
islamabad, pakistan, niamey, niger, ['india', 'ss_8900535', 'afghanistan', 'ss_8561351', 'ivory_coast']
islamabad, pakistan, nicosia, cyprus, ['mpla', 'turks_and_caicos', 'bhutan', 'gambian', 'ss_8852209']
