athens, greece, baghdad, iraq, ['iraq', 'al', 'abbasid', 'battery', 'province']
tegucigalpa, honduras, warsaw, poland, ['the', 'in', 'of', 'one', 'pact']
tegucigalpa, honduras, yerevan, armenia, ['armenia', 'is', 'tv', 'tower', 's']
tegucigalpa, honduras, zagreb, croatia, ['the', 'and', 'to', 'of', 'one']
tegucigalpa, honduras, accra, ghana, ['and', 'the', 'of', 'plains', 'in']
tegucigalpa, honduras, algiers, algeria, ['the', 'of', 'in', 'one', 'and']
tegucigalpa, honduras, amman, jordan, ['the', 'jordan', 'in', 'and', 'of']
tegucigalpa, honduras, ankara, turkey, ['of', 'the', 'in', 'and', 'is']
tegucigalpa, honduras, antananarivo, madagascar, ['madagascar', 'mahajanga', 'demographics', 'regions', 'province']
tegucigalpa, honduras, asmara, eritrea, ['the', 'and', 'one', 'to', 'capital']
tegucigalpa, honduras, astana, kazakhstan, ['almaty', 'qazaqstan', 'atyrau', 'kazakhstan', 'and']
tegucigalpa, honduras, athens, greece, ['of', 'the', 'in', 'and', 'to']
tegucigalpa, honduras, baghdad, iraq, ['the', 'of', 'in', 'and', 'to']
tegucigalpa, honduras, baku, azerbaijan, ['the', 'of', 'in', 'and', 'is']
tegucigalpa, honduras, bamako, mali, ['convention', 'has', 'six', 'mosque', 'under']
tegucigalpa, honduras, bangkok, thailand, ['thailand', 'post', 'two', 'the', 'zero']
tegucigalpa, honduras, beijing, china, ['the', 'of', 'in', 'and', 'to']
tegucigalpa, honduras, beirut, lebanon, ['in', 'the', 'of', 'and', 'one']
tegucigalpa, honduras, belgrade, serbia, ['in', 'the', 'of', 'and', 'to']
tegucigalpa, honduras, berlin, germany, ['the', 'in', 'of', 'one', 'and']
tegucigalpa, honduras, bern, switzerland, ['the', 'of', 'in', 'switzerland', 'berne']
tegucigalpa, honduras, bishkek, kyrgyzstan, ['is', 'of', 'to', 'oblasty', 'a']
tegucigalpa, honduras, bratislava, slovakia, ['the', 'in', 'of', 'one', 'nine']
tehran, iran, tirana, albania, ['albania', 'shkod', 'became', 'water', 'brewery']
tehran, iran, tokyo, japan, ['the', 'in', 'and', 'of', 'one']
tehran, iran, tripoli, libya, ['and', 'of', 'the', 'one', 'was']
tehran, iran, tunis, tunisia, ['alexander', 'tunisia', 'died', 'taxis', 'tripoli']
tehran, iran, vaduz, liechtenstein, ['schellenberg', 'liechtenstein', 'possessed', 'fc', 'overlooking']
tehran, iran, valletta, malta, ['page', 'john', 'harbours', 'many', 'official']
tehran, iran, vienna, austria, ['in', 'the', 'of', 'one', 'and']
tehran, iran, vientiane, laos, ['prefecture', 'lao', 'capital', 'plural', 'laos']
tehran, iran, vilnius, lithuania, ['the', 'region', 'lithuania', 'and', 'lithuanian']
tehran, iran, warsaw, poland, ['the', 'pact', 'one', 'of', 'in']
tehran, iran, yerevan, armenia, ['armenia', 'tv', 'tower', 'included', 'can']
tehran, iran, zagreb, croatia, ['croatia', 'from', 'split', 'to', 'and']
tehran, iran, accra, ghana, ['plains', 'and', 'ghana', 'kumasi', 'capital']
tehran, iran, algiers, algeria, ['the', 'of', 'as', 'by', 'from']
tehran, iran, amman, jordan, ['jordan', 'capital', 'jacob', 'aqaba', 'fm']
tehran, iran, ankara, turkey, ['the', 'of', 'turkey', 'is', 'turkish']
tehran, iran, antananarivo, madagascar, ['madagascar', 'mahajanga', 'demographics', 'regions', 'diana']
tehran, iran, asmara, eritrea, ['capital', 'telephone', 'mailing', 'formerly', 'lowlands']
tehran, iran, astana, kazakhstan, ['almaty', 'qazaqstan', 'atyrau', 'kazakhstan', 'each']
tehran, iran, athens, greece, ['of', 'the', 'in', 'and', 'to']
tehran, iran, baghdad, iraq, ['the', 'of', 'in', 'and', 'to']
tehran, iran, baku, azerbaijan, ['the', 'azerbaijan', 'is', 'of', 'from']
tehran, iran, bamako, mali, ['convention', 'under', 'mosque', 'has', 'timbuktu']
tehran, iran, bangkok, thailand, ['thailand', 'post', 'airlines', 'international', 'from']
tehran, iran, beijing, china, ['the', 'of', 'in', 'and', 'to']
tehran, iran, beirut, lebanon, ['in', 'the', 'and', 'of', 'one']
tehran, iran, belgrade, serbia, ['in', 'the', 'to', 'and', 'serbia']
tehran, iran, berlin, germany, ['the', 'in', 'of', 'one', 'and']
tehran, iran, bern, switzerland, ['switzerland', 'berne', 'or', 'wisconsin', 'canton']
tehran, iran, bishkek, kyrgyzstan, ['is', 'oblasty', 'kyrgyzstan', 'a', 'jalal']
tehran, iran, bratislava, slovakia, ['slovakia', 'image', 'castle', 'the', 'photo']
tehran, iran, brussels, belgium, ['the', 'in', 'of', 'and', 'one']
tirana, albania, tokyo, japan, ['the', 'in', 'and', 'of', 'one']
tirana, albania, tripoli, libya, ['of', 'the', 'and', 'in', 'one']
tirana, albania, tunis, tunisia, ['the', 'of', 'in', 'and', 'one']
tirana, albania, vaduz, liechtenstein, ['schellenberg', 'and', 'the', 'in', 'liechtenstein']
tirana, albania, valletta, malta, ['three', 'two', 'page', 'the', 'zero']
tirana, albania, vienna, austria, ['in', 'the', 'of', 'one', 'and']
tirana, albania, vientiane, laos, ['the', 'and', 'in', 'one', 'times']
tirana, albania, vilnius, lithuania, ['the', 'in', 'of', 'region', 'and']
tirana, albania, warsaw, poland, ['the', 'in', 'of', 'one', 'pact']
tirana, albania, yerevan, armenia, ['in', 'armenia', 'is', 'tv', 'tower']
tirana, albania, zagreb, croatia, ['the', 'in', 'to', 'one', 'and']
tirana, albania, accra, ghana, ['the', 'in', 'and', 'plains', 'of']
tirana, albania, algiers, algeria, ['the', 'of', 'in', 'one', 'and']
tirana, albania, amman, jordan, ['the', 'in', 'jordan', 'and', 'jacob']
tirana, albania, ankara, turkey, ['the', 'of', 'in', 'and', 'one']
tirana, albania, antananarivo, madagascar, ['madagascar', 'mahajanga', 'demographics', 'the', 'regions']
tirana, albania, asmara, eritrea, ['the', 'in', 'one', 'to', 'capital']
tirana, albania, astana, kazakhstan, ['almaty', 'qazaqstan', 'atyrau', 'cities', 'kazakhstan']
tirana, albania, athens, greece, ['of', 'the', 'in', 'and', 'to']
tirana, albania, baghdad, iraq, ['the', 'of', 'in', 'and', 'to']
tirana, albania, baku, azerbaijan, ['the', 'in', 'of', 'is', 'and']
tirana, albania, bamako, mali, ['in', 'the', 'convention', 'has', 'six']
tirana, albania, bangkok, thailand, ['the', 'thailand', 'in', 'post', 'two']
tirana, albania, beijing, china, ['the', 'in', 'of', 'and', 'to']
tirana, albania, beirut, lebanon, ['in', 'the', 'of', 'and', 'one']
tirana, albania, belgrade, serbia, ['in', 'the', 'to', 'and', 'of']
tirana, albania, berlin, germany, ['the', 'in', 'of', 'one', 'and']
tirana, albania, bern, switzerland, ['the', 'in', 'of', 'one', 'switzerland']
tirana, albania, bishkek, kyrgyzstan, ['in', 'is', 'the', 'a', 'to']
tirana, albania, bratislava, slovakia, ['the', 'in', 'one', 'of', 'nine']
tirana, albania, brussels, belgium, ['the', 'in', 'of', 'and', 'one']
tirana, albania, bucharest, romania, ['one', 'the', 'of', 'in', 'to']
tirana, albania, budapest, hungary, ['in', 'the', 'of', 'one', 'hungary']
tokyo, japan, tripoli, libya, ['county', 'benghazi', 'libya', 'antioch', 'near']
tokyo, japan, tunis, tunisia, ['alexander', 'tunisia', 'taxis', 'montju', 'lake']
tokyo, japan, vaduz, liechtenstein, ['schellenberg', 'liechtenstein', 'possessed', 'fc', 'overlooking']
tokyo, japan, valletta, malta, ['page', 'harbours', 'named', 'local', 'councils']
tokyo, japan, vienna, austria, ['in', 'of', 'the', 'one', 'to']
tokyo, japan, vientiane, laos, ['times', 'lao', 'plural', 'laos', 'province']
tokyo, japan, vilnius, lithuania, ['region', 'lithuania', 'lithuanian', 'rajonas', 'kaunas']
tokyo, japan, warsaw, poland, ['pact', 'poland', 'ghetto', 'the', 'uprising']
tokyo, japan, yerevan, armenia, ['armenia', 'included', 'geography', 'moreover', 'kenya']
tokyo, japan, zagreb, croatia, ['croatia', 'split', 'rijeka', 'grad', 'e']
tokyo, japan, accra, ghana, ['plains', 'ghana', 'kumasi', 'nkrumah', 'rulers']
tokyo, japan, algiers, algeria, ['image', 'algeria', 'accord', 'jpg', 'agreement']
tokyo, japan, amman, jordan, ['jordan', 'aqaba', 'zarqa', 'jacob', 'fm']
tokyo, japan, ankara, turkey, ['turkey', 'turkish', 'citadel', 'pictures', 'cat']
tokyo, japan, antananarivo, madagascar, ['madagascar', 'mahajanga', 'demographics', 'province', 'diana']
tokyo, japan, asmara, eritrea, ['telephone', 'mailing', 'formerly', 'lowlands', 'massawa']
tokyo, japan, astana, kazakhstan, ['almaty', 'qazaqstan', 'atyrau', 'kazakhstan', 'each']
tokyo, japan, athens, greece, ['of', 'the', 'to', 'in', 'was']
tokyo, japan, baghdad, iraq, ['was', 'iraq', 'to', 'under', 'al']
tokyo, japan, baku, azerbaijan, ['azerbaijan', 'oil', 'sea', 'embassy', 'republic']
tokyo, japan, bamako, mali, ['mosque', 'timbuktu', 'clients', 'bien', 'under']
tokyo, japan, bangkok, thailand, ['thailand', 'post', 'wales', 'turkish', 'basel']
tokyo, japan, beijing, china, ['of', 'the', 'china', 'in', 'to']
tokyo, japan, beirut, lebanon, ['lebanon', 'american', 'capital', 'east', 'lebanese']
tokyo, japan, belgrade, serbia, ['serbia', 'kosovo', 'bar', 'croatia', 'called']
tokyo, japan, berlin, germany, ['the', 'in', 'of', 'one', 'and']
tokyo, japan, bern, switzerland, ['switzerland', 'berne', 'canton', 'township', 'oppidum']
tokyo, japan, bishkek, kyrgyzstan, ['oblasty', 'kyrgyzstan', 'jalal', 'cityscape', 'abad']
tokyo, japan, bratislava, slovakia, ['slovakia', 'image', 'jpg', 'photo', 'castle']
tokyo, japan, brussels, belgium, ['the', 'belgium', 'capital', 'region', 'in']
tokyo, japan, bucharest, romania, ['romania', 'patriarchate', 'treaty', 'danube', 'budapest']
tokyo, japan, budapest, hungary, ['hungary', 'hungarian', 'debrecen', 'prague', 'austria']
tokyo, japan, bujumbura, burundi, ['burundi', 'provinces', 'administrative', 'note', 'airports']
tripoli, libya, tunis, tunisia, ['alexander', 'modern', 'taxis', 'montju', 'died']
tripoli, libya, vaduz, liechtenstein, ['schellenberg', 'liechtenstein', 'possessed', 'fc', 'overlooking']
tripoli, libya, valletta, malta, ['page', 'named', 'harbours', 'official', 'john']
tripoli, libya, vienna, austria, ['in', 'the', 'of', 'one', 'to']
tripoli, libya, vientiane, laos, ['prefecture', 'lao', 'plural', 'laos', 'hanoi']
tripoli, libya, vilnius, lithuania, ['region', 'lithuania', 'university', 'lithuanian', 'rajonas']
tripoli, libya, warsaw, poland, ['the', 'pact', 'in', 'one', 'nine']
tripoli, libya, yerevan, armenia, ['armenia', 'tv', 'tower', 'university', 'included']
tripoli, libya, zagreb, croatia, ['croatia', 'split', 'university', 'e', 'rijeka']
tripoli, libya, accra, ghana, ['plains', 'ghana', 'kumasi', 'nkrumah', 'g']
tripoli, libya, algiers, algeria, ['the', 'image', 'by', 'algeria', 'accord']
tripoli, libya, amman, jordan, ['jordan', 'jacob', 'aqaba', 'fm', 'zarqa']
tripoli, libya, ankara, turkey, ['turkey', 'turkish', 'citadel', 'is', 'pictures']
tripoli, libya, antananarivo, madagascar, ['madagascar', 'mahajanga', 'diana', 'regions', 'province']
tripoli, libya, asmara, eritrea, ['telephone', 'president', 'mailing', 'street', 'york']
tripoli, libya, astana, kazakhstan, ['almaty', 'qazaqstan', 'atyrau', 'kazakhstan', 'each']
tripoli, libya, athens, greece, ['of', 'the', 'in', 'to', 'and']
tripoli, libya, baghdad, iraq, ['the', 'in', 'of', 'to', 'zero']
tripoli, libya, baku, azerbaijan, ['azerbaijan', 'is', 'in', 'the', 'oil']
tripoli, libya, bamako, mali, ['convention', 'mosque', 'each', 'timbuktu', 'based']
tripoli, libya, bangkok, thailand, ['thailand', 'university', 'post', 'hong', 'air']
tripoli, libya, beijing, china, ['the', 'in', 'of', 'and', 'to']
tripoli, libya, beirut, lebanon, ['in', 'the', 'lebanon', 'a', 'university']
tripoli, libya, belgrade, serbia, ['in', 'serbia', 'kosovo', 'to', 'new']
tripoli, libya, berlin, germany, ['the', 'in', 'of', 'one', 'and']
tripoli, libya, bern, switzerland, ['switzerland', 'berne', 'new', 'wisconsin', 'canton']
tripoli, libya, bishkek, kyrgyzstan, ['is', 'oblasty', 'kyrgyzstan', 'jalal', 'cityscape']
tripoli, libya, bratislava, slovakia, ['slovakia', 'image', 'jpg', 'castle', 'photo']
tripoli, libya, brussels, belgium, ['the', 'in', 'of', 'belgium', 'one']
tripoli, libya, bucharest, romania, ['romania', 'patriarchate', 'august', 'university', 'danube']
tripoli, libya, budapest, hungary, ['hungary', 'in', 'nine', 'one', 'university']
tripoli, libya, bujumbura, burundi, ['burundi', 'note', 'harbors', 'republic', 'airports']
tripoli, libya, cairo, egypt, ['in', 'the', 'egypt', 'to', 'at']
tunis, tunisia, vaduz, liechtenstein, ['schellenberg', 'liechtenstein', 'possessed', 'fc', 'overlooking']
tunis, tunisia, valletta, malta, ['zero', 'three', 'page', 'john', 'island']
tunis, tunisia, vienna, austria, ['in', 'the', 'of', 'one', 'and']
tunis, tunisia, vientiane, laos, ['capital', 'times', 'prefecture', 'lao', 'plural']
tunis, tunisia, vilnius, lithuania, ['the', 'region', 'in', 'lithuania', 'of']
tunis, tunisia, warsaw, poland, ['the', 'in', 'pact', 'of', 'one']
tunis, tunisia, yerevan, armenia, ['armenia', 'is', 'tv', 'tower', 's']
tunis, tunisia, zagreb, croatia, ['the', 'croatia', 'to', 'split', 'one']
tunis, tunisia, accra, ghana, ['and', 'plains', 'the', 'ghana', 'is']
tunis, tunisia, algiers, algeria, ['the', 'of', 'in', 'one', 'zero']
tunis, tunisia, amman, jordan, ['jordan', 'capital', 'jacob', 'area', 'aqaba']
tunis, tunisia, ankara, turkey, ['the', 'of', 'in', 'is', 'turkey']
tunis, tunisia, antananarivo, madagascar, ['madagascar', 'mahajanga', 'demographics', 'regions', 'province']
tunis, tunisia, asmara, eritrea, ['capital', 'zero', 'with', 'telephone', 'president']
tunis, tunisia, astana, kazakhstan, ['almaty', 'qazaqstan', 'atyrau', 'kazakhstan', 'each']
tunis, tunisia, athens, greece, ['of', 'the', 'in', 'and', 'to']
tunis, tunisia, baghdad, iraq, ['the', 'of', 'in', 'and', 'to']
tunis, tunisia, baku, azerbaijan, ['the', 'in', 'of', 'is', 'azerbaijan']
tunis, tunisia, bamako, mali, ['convention', 'has', 'capital', 'mosque', 'under']
tunis, tunisia, bangkok, thailand, ['thailand', 'post', 'zero', 'international', 'two']
tunis, tunisia, beijing, china, ['the', 'in', 'of', 'and', 'to']
tunis, tunisia, beirut, lebanon, ['in', 'the', 'of', 'and', 'one']
tunis, tunisia, belgrade, serbia, ['in', 'the', 'to', 'and', 'serbia']
tunis, tunisia, berlin, germany, ['the', 'in', 'of', 'one', 'and']
tunis, tunisia, bern, switzerland, ['the', 'in', 'switzerland', 'berne', 'or']
tunis, tunisia, bishkek, kyrgyzstan, ['is', 'a', 'oblasty', 'kyrgyzstan', 'jalal']
tunis, tunisia, bratislava, slovakia, ['the', 'in', 'one', 'slovakia', 'image']
tunis, tunisia, brussels, belgium, ['the', 'in', 'of', 'and', 'one']
tunis, tunisia, bucharest, romania, ['one', 'nine', 'eight', 'romania', 'to']
tunis, tunisia, budapest, hungary, ['in', 'one', 'the', 'hungary', 'of']
tunis, tunisia, bujumbura, burundi, ['capital', 'burundi', 'administrative', 'provinces', 'note']
tunis, tunisia, cairo, egypt, ['in', 'the', 'and', 'of', 'to']
tunis, tunisia, canberra, australia, ['the', 'one', 'in', 'australia', 'nine']
vaduz, liechtenstein, valletta, malta, ['three', 'zero', 'two', 'page', 'five']
vaduz, liechtenstein, vienna, austria, ['in', 'the', 'of', 'one', 'and']
vaduz, liechtenstein, vientiane, laos, ['the', 'and', 'one', 'times', 'capital']
vaduz, liechtenstein, vilnius, lithuania, ['the', 'of', 'in', 'region', 'and']
vaduz, liechtenstein, warsaw, poland, ['the', 'in', 'of', 'one', 'pact']
vaduz, liechtenstein, yerevan, armenia, ['in', 'armenia', 'is', 'tv', 'tower']
vaduz, liechtenstein, zagreb, croatia, ['the', 'in', 'of', 'to', 'one']
vaduz, liechtenstein, accra, ghana, ['the', 'in', 'and', 'of', 'plains']
vaduz, liechtenstein, algiers, algeria, ['the', 'of', 'in', 'one', 'and']
vaduz, liechtenstein, amman, jordan, ['the', 'in', 'jordan', 'of', 'capital']
vaduz, liechtenstein, ankara, turkey, ['the', 'of', 'in', 'and', 'is']
vaduz, liechtenstein, antananarivo, madagascar, ['madagascar', 'mahajanga', 'regions', 'province', 'diana']
vaduz, liechtenstein, asmara, eritrea, ['the', 'in', 'capital', 'one', 'to']
vaduz, liechtenstein, astana, kazakhstan, ['almaty', 'qazaqstan', 'atyrau', 'cities', 'kazakhstan']
vaduz, liechtenstein, athens, greece, ['of', 'the', 'in', 'and', 'to']
vaduz, liechtenstein, baghdad, iraq, ['the', 'of', 'in', 'and', 'to']
vaduz, liechtenstein, baku, azerbaijan, ['the', 'in', 'of', 'is', 'and']
vaduz, liechtenstein, bamako, mali, ['in', 'the', 'convention', 'has', 'nine']
vaduz, liechtenstein, bangkok, thailand, ['thailand', 'the', 'in', 'post', 'zero']
vaduz, liechtenstein, beijing, china, ['the', 'in', 'of', 'and', 'to']
vaduz, liechtenstein, beirut, lebanon, ['in', 'the', 'of', 'and', 'one']
vaduz, liechtenstein, belgrade, serbia, ['in', 'the', 'of', 'to', 'and']
vaduz, liechtenstein, berlin, germany, ['the', 'in', 'of', 'one', 'and']
vaduz, liechtenstein, bern, switzerland, ['the', 'of', 'in', 'switzerland', 'one']
vaduz, liechtenstein, bishkek, kyrgyzstan, ['in', 'is', 'of', 'the', 'to']
vaduz, liechtenstein, bratislava, slovakia, ['the', 'in', 'of', 'one', 'nine']
vaduz, liechtenstein, brussels, belgium, ['the', 'in', 'of', 'and', 'one']
vaduz, liechtenstein, bucharest, romania, ['of', 'one', 'the', 'in', 'to']
vaduz, liechtenstein, budapest, hungary, ['in', 'of', 'the', 'one', 'hungary']
vaduz, liechtenstein, bujumbura, burundi, ['capital', 'burundi', 'provinces', 'administrative', 'the']
vaduz, liechtenstein, cairo, egypt, ['in', 'the', 'of', 'and', 'to']
vaduz, liechtenstein, canberra, australia, ['the', 'in', 'one', 'of', 'australia']
vaduz, liechtenstein, caracas, venezuela, ['venezuela', 'of', 'one', 'the', 'nine']
valletta, malta, vienna, austria, ['in', 'the', 'of', 'one', 'and']
valletta, malta, vientiane, laos, ['the', 'and', 'in', 'one', 'times']
valletta, malta, vilnius, lithuania, ['the', 'of', 'in', 'and', 'region']
valletta, malta, warsaw, poland, ['the', 'in', 'of', 'one', 'pact']
valletta, malta, yerevan, armenia, ['in', 'armenia', 'is', 'tv', 'tower']
valletta, malta, zagreb, croatia, ['the', 'in', 'and', 'to', 'of']
valletta, malta, accra, ghana, ['the', 'and', 'in', 'of', 'plains']
valletta, malta, algiers, algeria, ['the', 'of', 'in', 'one', 'and']
valletta, malta, amman, jordan, ['the', 'in', 'jordan', 'and', 'of']
valletta, malta, ankara, turkey, ['the', 'of', 'in', 'and', 'one']
valletta, malta, antananarivo, madagascar, ['madagascar', 'and', 'mahajanga', 'demographics', 'regions']
valletta, malta, asmara, eritrea, ['the', 'in', 'and', 'one', 'capital']
valletta, malta, astana, kazakhstan, ['almaty', 'and', 'qazaqstan', 'atyrau', 'cities']
valletta, malta, athens, greece, ['of', 'the', 'in', 'and', 'to']
valletta, malta, baghdad, iraq, ['the', 'of', 'in', 'and', 'to']
valletta, malta, baku, azerbaijan, ['the', 'in', 'of', 'and', 'is']
valletta, malta, bamako, mali, ['in', 'the', 'convention', 'has', 'a']
valletta, malta, bangkok, thailand, ['thailand', 'the', 'in', 'and', 'post']
valletta, malta, beijing, china, ['the', 'in', 'of', 'and', 'to']
valletta, malta, beirut, lebanon, ['in', 'the', 'of', 'and', 'one']
valletta, malta, belgrade, serbia, ['in', 'the', 'and', 'of', 'to']
valletta, malta, berlin, germany, ['the', 'in', 'of', 'one', 'and']
valletta, malta, bern, switzerland, ['the', 'in', 'of', 'one', 'switzerland']
valletta, malta, bishkek, kyrgyzstan, ['in', 'is', 'the', 'a', 'of']
valletta, malta, bratislava, slovakia, ['the', 'in', 'of', 'one', 'nine']
valletta, malta, brussels, belgium, ['the', 'in', 'of', 'and', 'one']
valletta, malta, bucharest, romania, ['of', 'one', 'the', 'in', 'to']
valletta, malta, budapest, hungary, ['in', 'of', 'the', 'one', 'hungary']
valletta, malta, bujumbura, burundi, ['the', 'capital', 'burundi', 'provinces', 'administrative']
valletta, malta, cairo, egypt, ['in', 'the', 'of', 'and', 'to']
valletta, malta, canberra, australia, ['the', 'in', 'one', 'of', 'australia']
valletta, malta, caracas, venezuela, ['venezuela', 'one', 'of', 'the', 'in']
valletta, malta, chisinau, moldova, ['in', 'and', 'of', 'the', 'a']
vienna, austria, vientiane, laos, ['times', 'prefecture', 'lao', 'plural', 'laos']
vienna, austria, vilnius, lithuania, ['region', 'lithuania', 'lithuanian', 'rajonas', 'kaunas']
vienna, austria, warsaw, poland, ['pact', 'ghetto', 'poland', 'uprising', 'chopin']
vienna, austria, yerevan, armenia, ['armenia', 'tv', 'tower', 'geography', 'moreover']
vienna, austria, zagreb, croatia, ['croatia', 'split', 'e', 'rijeka', 'grad']
vienna, austria, accra, ghana, ['plains', 'ghana', 'kumasi', 'nkrumah', 'daily']
vienna, austria, algiers, algeria, ['image', 'algeria', 'jpg', 'accord', 'agreement']
vienna, austria, amman, jordan, ['jordan', 'jacob', 'aqaba', 'fm', 'zarqa']
vienna, austria, ankara, turkey, ['turkey', 'citadel', 'turkish', 'cat', 'environs']
vienna, austria, antananarivo, madagascar, ['madagascar', 'mahajanga', 'diana', 'province', 'botanic']
vienna, austria, asmara, eritrea, ['telephone', 'mailing', 'lowlands', 'street', 'massawa']
vienna, austria, astana, kazakhstan, ['almaty', 'qazaqstan', 'atyrau', 'kazakhstan', 'air']
vienna, austria, athens, greece, ['of', 'the', 'greece', 'is', 'ancient']
vienna, austria, baghdad, iraq, ['iraq', 'al', 'airport', 'abbasid', 'battery']
vienna, austria, baku, azerbaijan, ['azerbaijan', 'oil', 'sea', 'embassy', 'tower']
vienna, austria, bamako, mali, ['mosque', 'timbuktu', 'administrative', 'spelling', 'clients']
vienna, austria, bangkok, thailand, ['thailand', 'post', 'air', 'hong', 'airways']
vienna, austria, beijing, china, ['china', 'is', 's', 'university', 'chinese']
vienna, austria, beirut, lebanon, ['lebanon', 'american', 'east', 'bombing', 'lebanese']
vienna, austria, belgrade, serbia, ['serbia', 'kosovo', 'bar', 'croatia', 'zagreb']
vienna, austria, berlin, germany, ['the', 'in', 'of', 'one', 'and']
vienna, austria, bern, switzerland, ['berne', 'switzerland', 'wisconsin', 'canton', 'township']
vienna, austria, bishkek, kyrgyzstan, ['oblasty', 'kyrgyzstan', 'jalal', 'cityscape', 'square']
vienna, austria, bratislava, slovakia, ['image', 'jpg', 'castle', 'slovakia', 'photo']
vienna, austria, brussels, belgium, ['belgium', 'capital', 'region', 'french', 'is']
vienna, austria, bucharest, romania, ['romania', 'patriarchate', 'polytechnic', 'canal', 'pomona']
vienna, austria, budapest, hungary, ['hungary', 'debrecen', 'stock', 'hungarian', 'capture']
vienna, austria, bujumbura, burundi, ['burundi', 'administrative', 'provinces', 'harbors', 'note']
vienna, austria, cairo, egypt, ['egypt', 'al', 'alexandria', 'has', 'africa']
vienna, austria, canberra, australia, ['australia', 'australian', 'national', 'territory', 'act']
vienna, austria, caracas, venezuela, ['venezuela', 'el', 'bogot', 'sea', 'barcelona']
vienna, austria, chisinau, moldova, ['moldova', 'transnistria', 'balti', 'maps', 'image']
vienna, austria, conakry, guinea, ['guinea', 'region', 'zone', 'prefecture', 'special']
vientiane, laos, vilnius, lithuania, ['the', 'of', 'in', 'region', 'lithuania']
vientiane, laos, warsaw, poland, ['the', 'in', 'of', 'pact', 'one']
vientiane, laos, yerevan, armenia, ['armenia', 'tv', 'in', 'tower', 'at']
vientiane, laos, zagreb, croatia, ['the', 'in', 'to', 'of', 'croatia']
vientiane, laos, accra, ghana, ['in', 'plains', 'the', 'and', 'of']
vientiane, laos, algiers, algeria, ['the', 'of', 'in', 'one', 'by']
vientiane, laos, amman, jordan, ['jordan', 'in', 'jacob', 'aqaba', 'at']
vientiane, laos, ankara, turkey, ['of', 'the', 'in', 'turkey', 'is']
vientiane, laos, antananarivo, madagascar, ['madagascar', 'mahajanga', 'demographics', 'regions', 'diana']
vientiane, laos, asmara, eritrea, ['in', 'to', 'telephone', 'two', 'mailing']
vientiane, laos, astana, kazakhstan, ['almaty', 'qazaqstan', 'atyrau', 'kazakhstan', 'be']
vientiane, laos, athens, greece, ['of', 'the', 'in', 'and', 'to']
vientiane, laos, baghdad, iraq, ['of', 'the', 'in', 'and', 'to']
vientiane, laos, baku, azerbaijan, ['the', 'in', 'of', 'azerbaijan', 'is']
vientiane, laos, bamako, mali, ['convention', 'in', 'has', 'under', 'mosque']
vientiane, laos, bangkok, thailand, ['thailand', 'post', 'two', 'international', 'zero']
vientiane, laos, beijing, china, ['the', 'in', 'of', 'and', 'to']
vientiane, laos, beirut, lebanon, ['in', 'the', 'of', 'and', 'one']
vientiane, laos, belgrade, serbia, ['in', 'the', 'to', 'of', 'and']
vientiane, laos, berlin, germany, ['the', 'in', 'of', 'one', 'and']
vientiane, laos, bern, switzerland, ['of', 'in', 'the', 'switzerland', 'berne']
vientiane, laos, bishkek, kyrgyzstan, ['is', 'in', 'a', 'to', 'oblasty']
vientiane, laos, bratislava, slovakia, ['in', 'the', 'of', 'one', 'nine']
vientiane, laos, brussels, belgium, ['the', 'in', 'of', 'and', 'one']
vientiane, laos, bucharest, romania, ['of', 'one', 'to', 'nine', 'in']
vientiane, laos, budapest, hungary, ['in', 'of', 'one', 'the', 'hungary']
vientiane, laos, bujumbura, burundi, ['burundi', 'note', 'five', 'harbors', 'provinces']
vientiane, laos, cairo, egypt, ['in', 'the', 'of', 'and', 'to']
vientiane, laos, canberra, australia, ['the', 'in', 'of', 'one', 'australia']
vientiane, laos, caracas, venezuela, ['venezuela', 'of', 'de', 'nine', 'one']
vientiane, laos, chisinau, moldova, ['in', 'of', 'moldova', 'a', 'at']
vientiane, laos, conakry, guinea, ['guinea', 'region', 'capital', 'to', 'nine']
vientiane, laos, copenhagen, denmark, ['the', 'in', 'of', 'one', 'and']
vilnius, lithuania, warsaw, poland, ['the', 'in', 'pact', 'one', 'of']
vilnius, lithuania, yerevan, armenia, ['armenia', 'is', 'near', 'included', 'tower']
vilnius, lithuania, zagreb, croatia, ['croatia', 'split', 'from', 'to', 'e']
vilnius, lithuania, accra, ghana, ['plains', 'ghana', 'is', 'kumasi', 'nkrumah']
vilnius, lithuania, algiers, algeria, ['of', 'the', 'in', 'image', 'by']
vilnius, lithuania, amman, jordan, ['jordan', 'jacob', 'aqaba', 'fm', 'zarqa']
vilnius, lithuania, ankara, turkey, ['of', 'is', 'turkey', 'turkish', 'three']
vilnius, lithuania, antananarivo, madagascar, ['madagascar', 'mahajanga', 'demographics', 'regions', 'province']
vilnius, lithuania, asmara, eritrea, ['telephone', 'mailing', 'president', 'has', 'formerly']
vilnius, lithuania, astana, kazakhstan, ['almaty', 'qazaqstan', 'atyrau', 'kazakhstan', 'each']
vilnius, lithuania, athens, greece, ['of', 'the', 'in', 'and', 'to']
vilnius, lithuania, baghdad, iraq, ['of', 'in', 'the', 'and', 'to']
vilnius, lithuania, baku, azerbaijan, ['is', 'in', 'azerbaijan', 'on', 'from']
