athens, greece, baghdad, iraq, ['iraq', 'al', 'abbasid', 'battery', 'province', 'international', 'caliph', 'caliphs', 'iraqi', 'airport']
bishkek, kyrgyzstan, caracas, venezuela, ['venezuela', 'de', 'el', 'day', 'eight', 'modern', 'they', 'one', 'bogot', 'sea']
bishkek, kyrgyzstan, chisinau, moldova, ['and', 'moldova', 'center', 'transnistria', 'balti', 'government', 'maps', 'tiraspol', 'jewish', 'v']
bishkek, kyrgyzstan, conakry, guinea, ['guinea', 'capital', 'region', 'zone', 'prefecture', 'special', 'guinee', 'administrative', 'and', 'ghana']
bishkek, kyrgyzstan, copenhagen, denmark, ['the', 'in', 'of', 'one', 'and', 'interpretation', 'denmark', 'to', 'nine', 'zero']
bishkek, kyrgyzstan, dakar, senegal, ['rally', 'paris', 'senegal', 'as', 'six', 'africa', 'york', 'master', 'lieutenant', 'benin']
bishkek, kyrgyzstan, damascus, syria, ['of', 'the', 'and', 'to', 'in', 'steel', 'from', 'as', 'a', 'one']
bishkek, kyrgyzstan, dhaka, bangladesh, ['and', 'university', 'chittagong', 'bangladesh', 'sylhet', 'medical', 'education', 'universidad', 'public', 'bengal']
bishkek, kyrgyzstan, doha, qatar, ['qatar', 'trade', 'royal', 'can', 'dubai', 'usa', 'declaration', 'detroit', 'orgy', 'six']
bishkek, kyrgyzstan, dublin, ireland, ['the', 'in', 'of', 'and', 'one', 'ireland', 'to', 'city', 'county', 'nine']
bishkek, kyrgyzstan, gaborone, botswana, ['africa', 'african', 'elephants', 'kgalagadi', 'administrative', 'outside', 'host', 'towns', 'botswana', 'as']
bishkek, kyrgyzstan, georgetown, guyana, ['university', 'college', 'five', 'the', 'and', 'washington', 'c', 'd', 'guyana', 'six']
bishkek, kyrgyzstan, hanoi, vietnam, ['and', 'vietnam', 'rocks', 'penh', 'vientiane', 'with', 'the', 'six', 'eight', 'his']
bishkek, kyrgyzstan, harare, zimbabwe, ['since', 'salisbury', 'patents', 'houston', 'cayman', 'on', 'his', 'grand', 'detained', 'intercontinental']
bishkek, kyrgyzstan, havana, cuba, ['in', 'cuba', 'the', 'and', 'one', 'of', 'to', 'nine', 'embassy', 'cuban']
bishkek, kyrgyzstan, helsinki, finland, ['the', 'of', 'in', 'university', 'and', 'finland', 'one', 'nine', 'zero', 's']
bishkek, kyrgyzstan, islamabad, pakistan, ['pakistan', 'karachi', 'lahore', 'mosque', 'on', 'an', 'for', 'airlines', 'asking', 'these']
bishkek, kyrgyzstan, jakarta, indonesia, ['of', 'the', 'in', 'indonesia', 'and', 'to', 'city', 's', 'for', 'from']
bishkek, kyrgyzstan, kabul, afghanistan, ['the', 'in', 'of', 'and', 'one', 'to', 'from', 'was', 'afghanistan', 'nine']
bishkek, kyrgyzstan, kathmandu, nepal, ['in', 'the', 'valley', 'image', 'from', 'jpg', 'pollution', 'nepal', 'one', 'air']
bishkek, kyrgyzstan, khartoum, sudan, ['sudan', 'of', 'one', 'the', 'six', 'with', 'university', 'diplomatic', 'eight', 'and']
bishkek, kyrgyzstan, kiev, ukraine, ['of', 'one', 'the', 'from', 'and', 'ukraine', 'b', 'six', 'in', 'two']
bishkek, kyrgyzstan, kingston, jamaica, ['the', 'of', 'and', 'ontario', 'upon', 'in', 'jamaica', 'university', 'to', 'one']
bishkek, kyrgyzstan, libreville, gabon, ['gabon', 'including', 'free', 'france', 'elected', 'building', 'port', 'settlement', 'railhead', 'now']
bishkek, kyrgyzstan, lilongwe, malawi, ['blantyre', 'malawi', 'mulanje', 'six', 'districts', 'bay', 'mailing', 'administrative', 'valley', 'luanda']
bishkek, kyrgyzstan, lima, peru, ['peru', 'from', 'of', 'de', 'one', 'five', 'peruvian', 'rose', 'saint', 'in']
bishkek, kyrgyzstan, lisbon, portugal, ['the', 'of', 'in', 'one', 'and', 'to', 'zero', 'portugal', 'from', 'was']
bishkek, kyrgyzstan, ljubljana, slovenia, ['slovenia', 'zagreb', 've', 'tamil', 'german', 'novice', 'i', 'university', 'er', 'maribor']
bishkek, kyrgyzstan, london, england, ['the', 'in', 'of', 'one', 'and', 'to', 'nine', 'zero', 'a', 'two']
bratislava, slovakia, brussels, belgium, ['the', 'in', 'of', 'and', 'one', 'belgium', 'capital', 'region', 'to', 'is']
bratislava, slovakia, bucharest, romania, ['romania', 'to', 'patriarchate', 'august', 'treaty', 'belgrade', 'polytechnic', 'canal', 'berlin', 'but']
bratislava, slovakia, budapest, hungary, ['in', 'of', 'hungary', 'one', 'and', 'nine', 'to', 'a', 'university', 'by']
bratislava, slovakia, bujumbura, burundi, ['burundi', 'provinces', 'note', 'airports', 'area', 'harbors', 'divisions', 'administrative', 'republic', 'literacy']
bratislava, slovakia, cairo, egypt, ['in', 'the', 'and', 'of', 'to', 'egypt', 'a', 'al', 'was', 'at']
bratislava, slovakia, canberra, australia, ['australia', 'australian', 'one', 'university', 'of', 'the', 'in', 'by', 'two', 'nine']
bratislava, slovakia, caracas, venezuela, ['venezuela', 'de', 'el', 'day', 'modern', 'bogot', 'they', 'june', 'organization', 'declaration']
bratislava, slovakia, chisinau, moldova, ['moldova', 'center', 'transnistria', 'balti', 'tiraspol', 'under', 'convexity', 'state', 'government', 'jewish']
bratislava, slovakia, conakry, guinea, ['guinea', 'region', 'zone', 'capital', 'prefecture', 'special', 'guinee', 'ghana', 'bok', 'administrative']
bratislava, slovakia, copenhagen, denmark, ['the', 'in', 'of', 'and', 'one', 'interpretation', 'denmark', 'to', 'is', 'a']
bratislava, slovakia, dakar, senegal, ['rally', 'paris', 'senegal', 'africa', 'master', 'lieutenant', 'benin', 'decolonization', 'mauritania', 'are']
bratislava, slovakia, damascus, syria, ['of', 'the', 'and', 'to', 'in', 'steel', 'a', 'from', 'was', 'as']
bratislava, slovakia, dhaka, bangladesh, ['chittagong', 'university', 'bangladesh', 'sylhet', 'medical', 'education', 'universidad', 'bengal', 'being', 'styles']
bratislava, slovakia, doha, qatar, ['qatar', 'trade', 'royal', 'can', 'near', 'declaration', 'detroit', 'airways', 'tehran', 'orgy']
bratislava, slovakia, dublin, ireland, ['the', 'in', 'of', 'and', 'one', 'ireland', 'to', 'county', 'city', 'is']
bratislava, slovakia, gaborone, botswana, ['africa', 'african', 'elephants', 'kgalagadi', 'central', 'area', 'near', 'outside', 'host', 'botswana']
bratislava, slovakia, georgetown, guyana, ['university', 'washington', 'c', 'd', 'guyana', 'college', 'ibm', 'harbors', 'five', 'school']
bratislava, slovakia, hanoi, vietnam, ['vietnam', 'rocks', 'with', 'penh', 'vientiane', 'bombing', 'drummer', 'his', 'was', 'radio']
bratislava, slovakia, harare, zimbabwe, ['salisbury', 'renamed', 'patents', 'airport', 'houston', 'cayman', 'since', 'grand', 'detained', 'intercontinental']
bratislava, slovakia, havana, cuba, ['in', 'cuba', 'to', 'and', 'a', 'embassy', 'by', 'cuban', 'after', 'was']
bratislava, slovakia, helsinki, finland, ['of', 'the', 'in', 'finland', 'university', 'and', 'nine', 'one', 'zero', 'to']
bratislava, slovakia, islamabad, pakistan, ['pakistan', 'karachi', 'lahore', 'mosque', 'an', 'airlines', 'asking', 'about', 'it', 'these']
bratislava, slovakia, jakarta, indonesia, ['of', 'the', 'indonesia', 'to', 'in', 'a', 'is', 'city', 'and', 'for']
bratislava, slovakia, kabul, afghanistan, ['the', 'in', 'of', 'and', 'to', 'one', 'was', 'afghanistan', 'from', 'a']
bratislava, slovakia, kathmandu, nepal, ['valley', 'in', 'pollution', 'nepal', 'air', 'from', 'escape', 'itself', 'metropolitan', 'patan']
bratislava, slovakia, khartoum, sudan, ['sudan', 'with', 'diplomatic', 'six', 'was', 'al', 'university', 'resolution', 'embassy', 'assassinations']
bratislava, slovakia, kiev, ukraine, ['of', 'ukraine', 'b', 'from', 'to', 'one', 'prince', 'and', 'was', 'six']
bratislava, slovakia, kingston, jamaica, ['of', 'ontario', 'and', 'upon', 'the', 'to', 'jamaica', 'university', 'thames', 'was']
bratislava, slovakia, libreville, gabon, ['gabon', 'including', 'france', 'elected', 'port', 'railhead', 'free', 'building', 'settlement', 'opposition']
bratislava, slovakia, lilongwe, malawi, ['blantyre', 'malawi', 'mulanje', 'bay', 'mailing', 'valley', 'luanda', 'lagos', 'nkhotakota', 'address']
bratislava, slovakia, lima, peru, ['peru', 'from', 'de', 'peruvian', 'rose', 'saint', 'el', 'la', 'after', 'or']
bratislava, slovakia, lisbon, portugal, ['the', 'of', 'in', 'and', 'to', 'one', 'portugal', 'was', 'is', 'from']
bratislava, slovakia, ljubljana, slovenia, ['slovenia', 've', 'tamil', 'novice', 'er', 'linked', 'maribor', 'russia', 'poland', 'hip']
bratislava, slovakia, london, england, ['the', 'in', 'of', 'one', 'and', 'to', 'nine', 'zero', 'a', 'two']
bratislava, slovakia, luanda, angola, ['angola', 'a', 'capital', 'was', 'province', 'specifically', 'to', 'five', 'de', 'railhead']
brussels, belgium, bucharest, romania, ['romania', 'patriarchate', 'danube', 'august', 'belgrade', 'polytechnic', 'budapest', 'church', 'canal', 'treaty']
brussels, belgium, budapest, hungary, ['hungary', 'hungarian', 'debrecen', 'stock', 'university', 'k', 'prague', 'austria', 'capture', 'akad']
brussels, belgium, bujumbura, burundi, ['burundi', 'note', 'administrative', 'harbors', 'airports', 'divisions', 'republic', 'southeastern', 'tanganyika', 'literacy']
brussels, belgium, cairo, egypt, ['egypt', 'al', 'alexandria', 'university', 'to', 'africa', 'had', 'american', 'modern', 'egyptian']
brussels, belgium, canberra, australia, ['australia', 'australian', 'university', 'house', 'act', 'college', 'institute', 'territory', 'carta', 'liner']
brussels, belgium, caracas, venezuela, ['venezuela', 'el', 'day', 'modern', 'bogot', 'sea', 'organization', 'declaration', 'destroys', 'janeiro']
brussels, belgium, chisinau, moldova, ['moldova', 'transnistria', 'balti', 'center', 'image', 'tiraspol', 'jewish', 'v', 'convexity', 'russian']
brussels, belgium, conakry, guinea, ['guinea', 'zone', 'prefecture', 'special', 'guinee', 'administrative', 'ghana', 'bok', 'merchant', 'iceland']
brussels, belgium, copenhagen, denmark, ['interpretation', 'denmark', 'one', 'danish', 'consensus', 'university', 'as', 's', 'malm', 'quantum']
brussels, belgium, dakar, senegal, ['rally', 'senegal', 'africa', 'master', 'lieutenant', 'benin', 'decolonization', 'mauritania', 'g', 'economy']
brussels, belgium, damascus, syria, ['of', 'to', 'steel', 'as', 'syria', 'that', 'by', 'from', 'was', 'john']
brussels, belgium, dhaka, bangladesh, ['chittagong', 'bangladesh', 'sylhet', 'medical', 'universidad', 'bengal', 'styles', 'dubai', 'boards', 'sylheti']
brussels, belgium, doha, qatar, ['qatar', 'dubai', 'declaration', 'tehran', 'orgy', 'trade', 'detroit', 'usa', 'karachi', 'islamabad']
brussels, belgium, dublin, ireland, ['the', 'of', 'in', 'ireland', 'and', 'county', 'city', 'college', 'one', 'to']
brussels, belgium, gaborone, botswana, ['africa', 'elephants', 'african', 'kgalagadi', 'towns', 'botswana', 'administrative', 'host', 'divisions', 'east']
brussels, belgium, georgetown, guyana, ['university', 'college', 'guyana', 'washington', 'ibm', 'harbors', 'd', 'pop', 'alumni', 'press']
brussels, belgium, hanoi, vietnam, ['vietnam', 'rocks', 'penh', 'vientiane', 'bombing', 'drummer', 'republic', 'phnom', 'moscow', 'band']
brussels, belgium, harare, zimbabwe, ['salisbury', 'renamed', 'since', 'patents', 'houston', 'cayman', 'detained', 'intercontinental', 'lusaka', 'parties']
brussels, belgium, havana, cuba, ['cuba', 'embassy', 'cuban', 'via', 'bay', 'economy', 'were', 'castro', 'seeking', 'mexico']
brussels, belgium, helsinki, finland, ['finland', 'university', 's', 'metropolitan', 'image', 'vantaa', 'polytechnic', 'jpg', 'finnish', 'map']
brussels, belgium, islamabad, pakistan, ['pakistan', 'karachi', 'lahore', 'mosque', 'asking', 'introduction', 'aka', 'destined', 'intercontinental', 'go']
brussels, belgium, jakarta, indonesia, ['indonesia', 'batavia', 'city', 'project', 'now', 'apache', 'suffers', 'indonesian', 's', 'central']
brussels, belgium, kabul, afghanistan, ['afghanistan', 'was', 'river', 'city', 's', 'kandahar', 'from', 'afghan', 'to', 'by']
brussels, belgium, kathmandu, nepal, ['valley', 'image', 'jpg', 'pollution', 'nepal', 'escape', 'itself', 'metropolitan', 'air', 'patan']
brussels, belgium, khartoum, sudan, ['sudan', 'diplomatic', 'image', 'al', 'tramway', 'resolution', 'embassy', 'assassinations', 'satellite', 'jpg']
brussels, belgium, kiev, ukraine, ['ukraine', 'b', 'prince', 'vladimir', 'smolensk', 'russian', 'rus', 'orthodox', 'ruler', 'church']
brussels, belgium, kingston, jamaica, ['ontario', 'upon', 'jamaica', 'university', 'thames', 'bay', 'hull', 'montego', 'ian', 'ottawa']
brussels, belgium, libreville, gabon, ['gabon', 'settlement', 'railhead', 'opposition', 'merchant', 'lopez', 'chancery', 'havre', 'baraka', 'douala']
brussels, belgium, lilongwe, malawi, ['blantyre', 'malawi', 'mulanje', 'districts', 'bay', 'mailing', 'luanda', 'lagos', 'valley', 'administrative']
brussels, belgium, lima, peru, ['peru', 'peruvian', 'rose', 'el', 'bean', 'gestion', 'santiago', 'philippines', 'kills', 'america']
brussels, belgium, lisbon, portugal, ['portugal', 'was', 'earthquake', 'university', 'jpg', 'from', 'portuguese', 'image', 's', 'photos']
brussels, belgium, ljubljana, slovenia, ['slovenia', 'zagreb', 've', 'tamil', 'novice', 'linked', 'er', 'maribor', 'w', 'depict']
brussels, belgium, london, england, ['the', 'in', 'of', 'one', 'and', 'to', 'nine', 'zero', 'a', 'two']
brussels, belgium, luanda, angola, ['angola', 'specifically', 'railhead', 'province', 'lunda', 'namibia', 'portuguese', 'formerly', 'cabinda', 'paulo']
brussels, belgium, lusaka, zambia, ['protocol', 'accord', 'zambia', 'lyon', 'luanda', 'dar', 'salaam', 'es', 'lubwa', 'august']
bucharest, romania, budapest, hungary, ['in', 'the', 'of', 'hungary', 'one', 'and', 'nine', 'a', 'zero', 'at']
bucharest, romania, bujumbura, burundi, ['capital', 'burundi', 'provinces', 'administrative', 'note', 'airports', 'harbors', 'five', 'area', 'divisions']
bucharest, romania, cairo, egypt, ['in', 'the', 'and', 'of', 'egypt', 'to', 'a', 'at', 'al', 'one']
bucharest, romania, canberra, australia, ['the', 'in', 'one', 'australia', 'of', 'australian', 'and', 'university', 'zero', 'nine']
bucharest, romania, caracas, venezuela, ['venezuela', 'de', 'el', 'day', 'city', 'at', 'modern', 'they', 'bogot', 'declaration']
bucharest, romania, chisinau, moldova, ['and', 'in', 'a', 'moldova', 'center', 'transnistria', 'balti', 'at', 'government', 'maps']
bucharest, romania, conakry, guinea, ['guinea', 'capital', 'region', 'zone', 'prefecture', 'special', 'guinee', 'administrative', 'and', 'ghana']
bucharest, romania, copenhagen, denmark, ['the', 'in', 'of', 'and', 'one', 'interpretation', 'denmark', 'is', 'to', 'zero']
bucharest, romania, dakar, senegal, ['rally', 'paris', 'senegal', 'africa', 'g', 'master', 'lieutenant', 'decolonization', 'are', 'mauritania']
bucharest, romania, damascus, syria, ['of', 'the', 'and', 'in', 'to', 'a', 'steel', 'from', 'was', 'as']
bucharest, romania, dhaka, bangladesh, ['and', 'chittagong', 'bangladesh', 'university', 'sylhet', 'is', 'medical', 'with', 'into', 'universidad']
bucharest, romania, doha, qatar, ['qatar', 'near', 'trade', 'royal', 'can', 'dubai', 'usa', 'declaration', 'detroit', 'tehran']
bucharest, romania, dublin, ireland, ['the', 'in', 'of', 'and', 'one', 'ireland', 'to', 'city', 'is', 'county']
bucharest, romania, gaborone, botswana, ['near', 'africa', 'african', 'elephants', 'administrative', 'kgalagadi', 'central', 'outside', 'host', 'towns']
bucharest, romania, georgetown, guyana, ['university', 'five', 'college', 'and', 'washington', 'c', 'd', 'guyana', 'capital', 'four']
bucharest, romania, hanoi, vietnam, ['and', 'vietnam', 'rocks', 'with', 'penh', 'a', 'vientiane', 'was', 'bombing', 'drummer']
bucharest, romania, harare, zimbabwe, ['on', 'since', 'salisbury', 'renamed', 'patents', 'airport', 'houston', 'cayman', 'four', 'main']
bucharest, romania, havana, cuba, ['in', 'cuba', 'the', 'and', 'a', 'to', 'of', 'embassy', 'was', 'after']
bucharest, romania, helsinki, finland, ['the', 'of', 'in', 'and', 'finland', 'university', 'zero', 'nine', 'one', 'is']
bucharest, romania, islamabad, pakistan, ['pakistan', 'karachi', 'lahore', 'mosque', 'on', 'capital', 'an', 'was', 'asking', 'it']
bucharest, romania, jakarta, indonesia, ['of', 'the', 'in', 'is', 'indonesia', 'and', 'city', 'to', 'a', 's']
bucharest, romania, kabul, afghanistan, ['the', 'in', 'of', 'and', 'one', 'to', 'was', 'from', 'afghanistan', 'a']
bucharest, romania, kathmandu, nepal, ['in', 'the', 'valley', 'image', 'from', 'jpg', 'pollution', 'nepal', 'air', 'is']
bucharest, romania, khartoum, sudan, ['sudan', 'with', 'the', 'in', 'of', 'six', 'diplomatic', 'was', 'and', 'image']
bucharest, romania, kiev, ukraine, ['of', 'the', 'from', 'and', 'one', 'in', 'ukraine', 'b', 'zero', 'two']
bucharest, romania, kingston, jamaica, ['the', 'of', 'and', 'in', 'ontario', 'upon', 'is', 'jamaica', 'university', 'to']
bucharest, romania, libreville, gabon, ['gabon', 'including', 'now', 'free', 'france', 'elected', 'building', 'settlement', 'railhead', 'port']
bucharest, romania, lilongwe, malawi, ['blantyre', 'malawi', 'mulanje', 'capital', 'districts', 'administrative', 'mailing', 'valley', 'luanda', 'bay']
bucharest, romania, lima, peru, ['peru', 'from', 'in', 'de', 'of', 'five', 'peruvian', 'rose', 'saint', 'el']
bucharest, romania, lisbon, portugal, ['the', 'in', 'of', 'and', 'one', 'is', 'to', 'zero', 'was', 'portugal']
bucharest, romania, ljubljana, slovenia, ['slovenia', 'zagreb', 've', 'tamil', 'german', 'novice', 'linked', 'er', 'i', 'maribor']
bucharest, romania, london, england, ['the', 'in', 'of', 'one', 'and', 'to', 'nine', 'zero', 'a', 'two']
bucharest, romania, luanda, angola, ['angola', 'is', 'the', 'and', 'capital', 'a', 'five', 's', 'city', 'was']
bucharest, romania, lusaka, zambia, ['protocol', 'accord', 'zambia', 'dar', 'lyon', 'luanda', 'salaam', 'es', 'then', 'lubwa']
bucharest, romania, madrid, spain, ['the', 'in', 'of', 'one', 'and', 'zero', 'real', 'to', 'de', 'a']
budapest, hungary, bujumbura, burundi, ['burundi', 'provinces', 'administrative', 'note', 'airports', 'area', 'capital', 'divisions', 'has', 'republic']
budapest, hungary, cairo, egypt, ['the', 'in', 'and', 'egypt', 'to', 'of', 'al', 'from', 'is', 'at']
budapest, hungary, canberra, australia, ['australia', 'australian', 'capital', 'national', 'two', 'the', 'is', 'from', 'university', 'de']
budapest, hungary, caracas, venezuela, ['venezuela', 'de', 'el', 'day', 'modern', 'city', 'bogot', 'declaration', 'concert', 'destroys']
budapest, hungary, chisinau, moldova, ['moldova', 'transnistria', 'balti', 'center', 'maps', 'tiraspol', 'convexity', 'high', 'image', 'russian']
budapest, hungary, conakry, guinea, ['guinea', 'region', 'capital', 'zone', 'prefecture', 'guinee', 'administrative', 'special', 'ghana', 'bok']
budapest, hungary, copenhagen, denmark, ['the', 'in', 'of', 'and', 'interpretation', 'denmark', 'one', 'is', 'to', 'two']
budapest, hungary, dakar, senegal, ['rally', 'paris', 'senegal', 'africa', 'g', 'master', 'lieutenant', 'benin', 'decolonization', 'mauritania']
budapest, hungary, damascus, syria, ['of', 'the', 'and', 'to', 'steel', 'from', 'in', 'a', 'as', 'is']
budapest, hungary, dhaka, bangladesh, ['chittagong', 'bangladesh', 'sylhet', 'medical', 'education', 'universidad', 'public', 'bengal', 'being', 'styles']
budapest, hungary, doha, qatar, ['qatar', 'trade', 'dubai', 'declaration', 'detroit', 'tehran', 'orgy', 'can', 'usa', 'airways']
budapest, hungary, dublin, ireland, ['the', 'in', 'of', 'and', 'one', 'ireland', 'city', 'is', 'to', 'county']
budapest, hungary, gaborone, botswana, ['africa', 'elephants', 'african', 'administrative', 'kgalagadi', 'area', 'outside', 'host', 'towns', 'botswana']
budapest, hungary, georgetown, guyana, ['university', 'college', 'washington', 'c', 'guyana', 'ibm', 'school', 'states', 'pop', 'alumni']
budapest, hungary, hanoi, vietnam, ['vietnam', 'rocks', 'penh', 'vientiane', 'bombing', 'drummer', 'moscow', 'phnom', 'republic', 'radio']
budapest, hungary, harare, zimbabwe, ['salisbury', 'renamed', 'patents', 'houston', 'cayman', 'airport', 'grand', 'detained', 'intercontinental', 'main']
budapest, hungary, havana, cuba, ['cuba', 'embassy', 'cuban', 'after', 'in', 'bay', 'to', 'around', 'economy', 'province']
budapest, hungary, helsinki, finland, ['the', 'of', 'finland', 'in', 'university', 'is', 'and', 'zero', 's', 'two']
budapest, hungary, islamabad, pakistan, ['pakistan', 'karachi', 'lahore', 'mosque', 'asking', 'an', 'then', 'education', 'aka', 'destined']
budapest, hungary, jakarta, indonesia, ['of', 'the', 'indonesia', 'is', 'city', 'to', 'also', 'batavia', 'from', 'has']
budapest, hungary, kabul, afghanistan, ['the', 'in', 'and', 'of', 'to', 'afghanistan', 'from', 'was', 'city', 'a']
budapest, hungary, kathmandu, nepal, ['valley', 'image', 'jpg', 'from', 'pollution', 'nepal', 'air', 'escape', 'is', 'itself']
budapest, hungary, khartoum, sudan, ['sudan', 'diplomatic', 'al', 'image', 'six', 'with', 'tramway', 'resolution', 'embassy', 'see']
budapest, hungary, kiev, ukraine, ['from', 'ukraine', 'b', 'prince', 'vladimir', 'smolensk', 'russian', 'rus', 'six', 'orthodox']
budapest, hungary, kingston, jamaica, ['ontario', 'upon', 'jamaica', 'is', 'the', 'thames', 'and', 'to', 'university', 'bay']
budapest, hungary, libreville, gabon, ['gabon', 'free', 'france', 'elected', 'building', 'port', 'settlement', 'railhead', 'west', 'town']
budapest, hungary, lilongwe, malawi, ['blantyre', 'malawi', 'mulanje', 'districts', 'administrative', 'bay', 'mailing', 'valley', 'luanda', 'lagos']
budapest, hungary, lima, peru, ['peru', 'from', 'de', 'peruvian', 'rose', 'saint', 'el', 'or', 'bean', 'gestion']
budapest, hungary, lisbon, portugal, ['the', 'of', 'in', 'is', 'portugal', 'from', 'to', 'was', 'and', 'zero']
budapest, hungary, ljubljana, slovenia, ['slovenia', 've', 'tamil', 'novice', 'zagreb', 'er', 'linked', 'maribor', 'russia', 'hip']
budapest, hungary, london, england, ['the', 'in', 'of', 'one', 'and', 'to', 'nine', 'zero', 'a', 'two']
budapest, hungary, luanda, angola, ['angola', 'is', 'capital', 'city', 'population', 'specifically', 'province', 'has', 'railhead', 'south']
budapest, hungary, lusaka, zambia, ['protocol', 'accord', 'zambia', 'dar', 'then', 'lyon', 'luanda', 'salaam', 'es', 'lubwa']
budapest, hungary, madrid, spain, ['the', 'in', 'of', 'one', 'and', 'real', 'to', 'zero', 'de', 'is']
budapest, hungary, managua, nicaragua, ['san', 'america', 'nicaragua', 'city', 'regime', 'guatemala', 'jos', 'destroys', 'devastated', 'earthquake']
bujumbura, burundi, cairo, egypt, ['in', 'the', 'of', 'and', 'to', 'egypt', 'one', 'a', 'at', 'was']
bujumbura, burundi, canberra, australia, ['the', 'in', 'of', 'one', 'australia', 'nine', 'and', 'university', 'australian', 'zero']
bujumbura, burundi, caracas, venezuela, ['of', 'venezuela', 'one', 'nine', 'in', 'de', 'and', 'the', 'eight', 'el']
bujumbura, burundi, chisinau, moldova, ['in', 'of', 'and', 'the', 'a', 'to', 'moldova', 'at', 'is', 'center']
bujumbura, burundi, conakry, guinea, ['guinea', 'in', 'region', 'and', 'to', 'capital', 'zone', 'nine', 'one', 'prefecture']
bujumbura, burundi, copenhagen, denmark, ['the', 'in', 'of', 'one', 'and', 'interpretation', 'to', 'denmark', 'is', 'nine']
bujumbura, burundi, dakar, senegal, ['rally', 'paris', 'in', 'senegal', 'the', 'and', 'of', 'as', 'one', 'nine']
bujumbura, burundi, damascus, syria, ['of', 'the', 'and', 'in', 'to', 'a', 'steel', 'from', 'one', 'was']
bujumbura, burundi, dhaka, bangladesh, ['and', 'of', 'in', 'university', 'chittagong', 'is', 'bangladesh', 'sylhet', 'the', 'with']
bujumbura, burundi, doha, qatar, ['qatar', 'near', 'trade', 'royal', 'dubai', 'in', 'can', 'usa', 'declaration', 'detroit']
bujumbura, burundi, dublin, ireland, ['the', 'in', 'of', 'and', 'one', 'to', 'ireland', 'is', 'city', 'nine']
bujumbura, burundi, gaborone, botswana, ['is', 'near', 'in', 'to', 'africa', 'african', 'elephants', 'central', 'kgalagadi', 'as']
bujumbura, burundi, georgetown, guyana, ['university', 'of', 'the', 'in', 'and', 'college', 'nine', 'zero', 'to', 'washington']
bujumbura, burundi, hanoi, vietnam, ['in', 'of', 'and', 'the', 'vietnam', 'one', 'rocks', 'with', 'nine', 'was']
bujumbura, burundi, harare, zimbabwe, ['on', 'since', 'salisbury', 'renamed', 'patents', 'airport', 'houston', 'cayman', 'nine', 'was']
bujumbura, burundi, havana, cuba, ['in', 'the', 'cuba', 'of', 'and', 'one', 'to', 'nine', 'a', 'zero']
bujumbura, burundi, helsinki, finland, ['the', 'of', 'in', 'and', 'university', 'one', 'finland', 'nine', 'zero', 'is']
bujumbura, burundi, islamabad, pakistan, ['in', 'pakistan', 'to', 'of', 'karachi', 'the', 'lahore', 'on', 'mosque', 'is']
bujumbura, burundi, jakarta, indonesia, ['of', 'the', 'in', 'to', 'is', 'and', 'indonesia', 'city', 'a', 'from']
bujumbura, burundi, kabul, afghanistan, ['the', 'in', 'of', 'and', 'one', 'to', 'was', 'nine', 'from', 'afghanistan']
bujumbura, burundi, kathmandu, nepal, ['in', 'the', 'of', 'valley', 'one', 'image', 'from', 'is', 'jpg', 'pollution']
bujumbura, burundi, khartoum, sudan, ['of', 'in', 'the', 'sudan', 'one', 'nine', 'with', 'six', 'and', 'was']
bujumbura, burundi, kiev, ukraine, ['of', 'one', 'the', 'in', 'and', 'from', 'to', 'nine', 'ukraine', 'b']
bujumbura, burundi, kingston, jamaica, ['the', 'of', 'in', 'and', 'to', 'ontario', 'upon', 'is', 'one', 'jamaica']
bujumbura, burundi, libreville, gabon, ['gabon', 'including', 'now', 'france', 'elected', 'building', 'port', 'settlement', 'railhead', 'in']
bujumbura, burundi, lilongwe, malawi, ['blantyre', 'malawi', 'in', 'mulanje', 'zero', 'six', 'three', 'districts', 'is', 'bay']
bujumbura, burundi, lima, peru, ['of', 'peru', 'in', 'from', 'one', 'the', 'de', 'and', 'zero', 'nine']
bujumbura, burundi, lisbon, portugal, ['the', 'of', 'in', 'one', 'and', 'to', 'is', 'zero', 'from', 'was']
bujumbura, burundi, ljubljana, slovenia, ['slovenia', 'of', 'in', 'and', 'zagreb', 've', 'tamil', 'german', 'novice', 'south']
bujumbura, burundi, london, england, ['the', 'in', 'of', 'one', 'and', 'to', 'nine', 'zero', 'a', 'two']
bujumbura, burundi, luanda, angola, ['of', 'the', 'angola', 'and', 'in', 'is', 'to', 'a', 'one', 's']
bujumbura, burundi, lusaka, zambia, ['in', 'to', 'protocol', 'nine', 'accord', 'he', 'for', 'zambia', 'dar', 'then']
bujumbura, burundi, madrid, spain, ['the', 'in', 'of', 'one', 'and', 'to', 'zero', 'real', 'de', 'nine']
bujumbura, burundi, managua, nicaragua, ['san', 'two', 'of', 'in', 'america', 'nicaragua', 'that', 'the', 'where', 'city']
bujumbura, burundi, manama, bahrain, ['of', 'is', 'in', 's', 'a', 'was', 'the', 'bahrain', 'and', 'at']
cairo, egypt, canberra, australia, ['australia', 'australian', 'national', 'act', 'territory', 'de', 'outside', 'memorial', 'studies', 'sydney']
cairo, egypt, caracas, venezuela, ['venezuela', 'de', 'bogot', 'concert', 'barcelona', 'destroys', 'janeiro', 'academia', 'mundo', 'publicacion']
